Protocol,Compounds,InputFields,Iterations,NumPending,Hour,Day,Class,Timestamp,Normalized_Timestamp
b'E',997.0,137.0,20.0,0.0,14.0,1,b'F',38.0,0.22745922145501848
b'E',97.0,103.0,20.0,0.0,13.8166666666667,1,b'VF',37.8166666666667,0.2263584509156411
b'E',101.0,75.0,10.0,0.0,13.85,3,b'VF',85.85,0.5147603322325628
b'E',93.0,76.0,20.0,0.0,10.1,4,b'VF',106.1,0.6363454418092664
b'E',100.0,82.0,20.0,0.0,10.3666666666667,4,b'VF',106.3666666666667,0.6379465625938159
b'E',100.0,82.0,20.0,0.0,16.5333333333333,2,b'VF',64.5333333333333,0.3867707395176622
b'E',105.0,88.0,20.0,0.0,16.4,4,b'VF',112.4,0.674171920344241
b'E',98.0,95.0,20.0,0.0,16.7333333333333,4,b'VF',112.73333333333329,0.6761733213249272
b'E',101.0,91.0,20.0,0.0,16.1833333333333,4,b'VF',112.18333333333331,0.6728710097067946
b'E',95.0,92.0,20.0,0.0,10.7833333333333,2,b'VF',58.7833333333333,0.3522465726008204
b'E',102.0,96.0,20.0,0.0,9.96666666666667,4,b'VF',105.96666666666667,0.635544881416992
b'E',108.0,104.0,10.0,0.0,11.4833333333333,2,b'VF',59.4833333333333,0.3564495146602619
b'E',98.0,99.0,10.0,0.0,10.4333333333333,4,b'VF',106.4333333333333,0.6383468427899527
b'E',102.0,99.0,20.0,0.0,16.75,3,b'VF',88.75,0.5321725207645351
b'E',108.0,99.0,20.0,0.0,16.3666666666667,3,b'VF',88.3666666666667,0.529870909636746
b'E',128.0,111.0,20.0,0.0,16.4833333333333,4,b'VF',112.48333333333329,0.6746722705894124
b'E',121.0,118.0,20.0,0.0,16.7666666666667,4,b'VF',112.76666666666671,0.6763734614229964
b'E',132.0,2320.0,11.0,0.0,15.1333333333333,4,b'VF',111.1333333333333,0.6665665966176321
b'E',141.0,139.0,20.0,0.0,16.2666666666667,4,b'VF',112.26666666666671,0.6733713599519666
b'E',147.0,137.0,20.0,0.0,18.7166666666667,1,b'VF',42.7166666666667,0.2557790453317324
b'E',147.0,72.0,20.0,0.0,4.65,4,b'VF',100.65,0.6036225357750425
b'E',150.0,81.0,20.0,0.0,5.26666666666667,4,b'VF',101.26666666666667,0.6073251275893126
b'E',1501.0,137.0,20.0,0.0,14.1,1,b'F',38.1,0.22805964174922444
b'E',154.0,114.0,20.0,0.0,10.1666666666667,4,b'VF',106.1666666666667,0.636745722005404
b'E',149.0,111.0,20.0,0.0,10.8666666666667,2,b'VF',58.8666666666667,0.3527469228459924
b'E',145.0,112.0,20.0,0.0,16.6,2,b'VF',64.6,0.38717101971379964
b'E',155.0,116.0,20.0,0.0,10.4333333333333,4,b'VF',106.4333333333333,0.6383468427899527
b'E',157.0,112.0,20.0,0.0,10.0,4,b'VF',106.0,0.6357450215150605
b'E',154.0,76.0,20.0,0.0,20.8666666666667,0,b'VF',20.8666666666667,0.1245872110477336
b'E',157.0,157.0,20.0,0.0,17.9333333333333,1,b'VF',41.9333333333333,0.25107575302711876
b'E',173.0,166.0,20.0,0.0,13.8166666666667,3,b'VF',85.8166666666667,0.5145601921344943
b'E',180.0,173.0,20.0,0.0,15.8166666666667,3,b'VF',87.8166666666667,0.5265685980186132
b'E',171.0,174.0,20.0,0.0,14.45,3,b'VF',86.45,0.5183628539977985
b'E',236.0,224.0,20.0,0.0,11.2166666666667,4,b'VF',107.2166666666667,0.6430501350945663
